# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
  k141_52387_1        K14339  396.23   25.3   5.6e-07 alpha-1,6-mannosyltransferase [EC:2.4.1.-]
  k141_52387_1        K05284  221.80   18.9     6e-05 GPI mannosyltransferase 1 subunit M [EC:2.4.1.-]
  k141_52387_1        K13514  193.27   12.3    0.0058 lysophosphatidylglycerol acyltransferase 1 [EC:2.3.1.-]
  k141_52387_1        K11623  236.43    7.5       0.2 two-component system, NarL family, sensor histidine kinase YdfH [EC:2.7.13.3]
  k141_52387_1        K16647  176.60    6.7      0.35 arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.47]
  k141_52387_1        K07778  168.33    6.0      0.59 two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]
  k141_52387_1        K21022  252.23    5.9      0.87 diguanylate cyclase [EC:2.7.7.65]
  k141_52387_1        K14340  111.07    5.7      0.61 mannosyltransferase [EC:2.4.1.-]
  k141_52387_1        K07706  116.30    4.8       1.3 two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]
  k141_52387_2        K01775  113.33   45.8   3.6e-13 alanine racemase [EC:5.1.1.1]
  k141_52387_2        K18348  596.67   17.5    0.0001 serine/alanine racemase [EC:5.1.1.18 5.1.1.1]
  k141_52387_2        K01798  586.30   13.6    0.0011 Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]
  k141_52387_2        K25317  392.20   12.5    0.0043 amino-acid racemase [EC:5.1.1.10]
  k141_52387_2        K02371  367.90   11.8    0.0091 enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
  k141_52387_2        K23948  372.67    9.8     0.031 NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
  k141_52387_3        K18354  786.37  393.4  9.6e-119 vancomycin resistance protein VanK
  k141_52387_3        K11693  352.13  232.8   7.9e-70 peptidoglycan pentaglycine glycine transferase (the first glycine) [EC:2.3.2.16]
  k141_52387_3        K05363  290.57  207.0   4.8e-62 serine/alanine adding enzyme [EC:2.3.2.10]
  k141_52387_3        K12554  442.13  144.6   4.8e-43 alanine adding enzyme [EC:2.3.2.-]
  k141_52387_3        K11694  621.70   80.5   1.4e-23 peptidoglycan pentaglycine glycine transferase (the second and third glycine) [EC:2.3.2.17]
  k141_52387_3        K11695  609.80   70.9   9.8e-21 peptidoglycan pentaglycine glycine transferase (the fourth and fifth glycine) [EC:2.3.2.18]
  k141_52387_3        K24303  350.83   40.2   2.9e-11 UDP-N-acetylbacillosamine alanyltransferase
  k141_52387_3        K09919   55.90   30.2   2.2e-08 uncharacterized protein
* k141_52387_4        K01142  229.27  285.1   1.4e-85 exodeoxyribonuclease III [EC:3.1.11.2]
  k141_52387_4        K10772  295.83   79.1   3.6e-23 AP endonuclease 2 [EC:3.1.11.2]
  k141_52387_4        K10771  396.67   69.5   3.5e-20 AP endonuclease 1 [EC:3.1.11.2]
  k141_52387_4        K18353  116.13   48.2   1.1e-13 vancomycin resistance protein VanJ
  k141_52387_4        K01971  189.03   38.5   7.1e-11 bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
  k141_52387_4        K06896  108.80   28.0   1.6e-07 maltose 6'-phosphate phosphatase [EC:3.1.3.90]
  k141_52387_4        K19619  118.90   19.4   5.6e-05 tyrosyl-DNA phosphodiesterase 2 [EC:3.1.4.-]
  k141_52387_4        K11014  119.77   17.2    0.0003 cytolethal distending toxin subunit B
